"date","game","users","new_revenue","revenue_past_month","sum_all_time_before","status","ltv","lifetime","language","age"
2022-04-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",44.1,0,0.0,New,835.2,0,ru,34
2022-05-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",103.8,44.1,44.1,Retained,835.2,1,ru,34
2022-06-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",106.6,103.8,147.9,Retained,835.2,2,ru,34
2022-07-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",92.5,106.6,254.5,Retained,835.2,3,ru,34
2022-08-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",69.3,92.5,347.0,Retained,835.2,4,ru,34
2022-09-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",178.6,69.3,416.3,Retained,835.2,5,ru,34
2022-10-01 00:00:00.000 +0300,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",94.4,178.6,594.9,Retained,835.2,6,ru,34
2022-11-01 00:00:00.000 +0200,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",145.9,94.4,689.3,Retained,835.2,7,ru,34
2022-12-01 00:00:00.000 +0200,game 3,"06RPvlsFPCmM9ag+iSM/Ag==",0,145.9,835.2,Сhurned,835.2,8,ru,34
2022-05-01 00:00:00.000 +0300,game 3,"0A5RkQrm+GBgG7KSFk/xhw==",50.6,0,0.0,New,1099.1,0,uk,31
2022-06-01 00:00:00.000 +0300,game 3,"0A5RkQrm+GBgG7KSFk/xhw==",176.8,50.6,50.6,Retained,1099.1,1,uk,31
2022-07-01 00:00:00.000 +0300,game 3,"0A5RkQrm+GBgG7KSFk/xhw==",193.5,176.8,227.4,Retained,1099.1,2,uk,31
