YEAR,BRAND_Y,SHARE_M,BRAND_S,SHARE_S
2021,Xiaomi,30.36,Xiaomi,0.3192117306435043
2021,Samsung,27.08,Samsung,0.22043522928925002
2021,Apple,17.98,Apple,0.2067619314467171
2022,Xiaomi,34.14,Xiaomi,0.3217432809516816
2022,Samsung,23.4,Samsung,0.23035688059920692
2022,Apple,18.42,Apple,0.18960199735644
2023,Xiaomi,31.18,Xiaomi,0.36801620823460734
2023,Apple,30.09,Apple,0.12599155248789534
2023,Samsung,19.53,Samsung,0.22976546135091513
2024,Xiaomi,28.73,Xiaomi,0.37519173739646183
2024,Apple,28.71,Apple,0.14510686164229472
2024,Samsung,19.82,Samsung,0.21316085489313835
2025,Apple,31.76,Apple,0.1818496230199903
2025,Xiaomi,23.81,Xiaomi,0.3433630767102442
2025,Samsung,20.84,Samsung,0.2111088054229785
2026,Apple,35.07,Apple,0.2646454265159301
2026,Xiaomi,21.11,Xiaomi,0.30935251798561153
2026,Samsung,20.28,Samsung,0.17985611510791366
